OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	473	Если РазмерДанных < 32 Тогда	5177	0,005607
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	1001	Возврат 160;	5177	0,005584
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	502	КонецПроцедуры	5177	0,00551
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	412	Буфер.Установить(Индекс, Цел(ОстатокМантиссы / Pow(2, Сдвиг)) % 256);	1998	0,005298
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	689	Если Данные >= 0 Тогда	4668	0,005287
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	460	ЗаписатьБуферВПоток(МеткаТипа, 1, ПотокДанных);	1000	0,005217
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	699	КонецПроцедуры	5001	0,005139
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	1025	Возврат 127;	4668	0,005117
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	647	ЗаписатьБуферВПоток(МеткаТипа, РазмерМетки, ПотокДанных);	1001	0,005096
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	475	РазмерМетки = 1;	5177	0,005083
Tests ОбщийМодуль.OPIt_MessagePack.Модуль	419	MessagePackДанные = OPI_MessagePack.СериализоватьДанные(Исходное);	1	0,005037
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	86	ЗаписатьСтрокуВПоток(Данные, ПотокДанных);	1001	0,004908
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	740	ИначеЕсли Число < 256 Тогда	4307	0,004873
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	495	КонецЕсли;	5177	0,004863
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	1003	КонецФункции	5177	0,004858
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	767	КонецПроцедуры	4668	0,004783
OpenIntegrations ОбщийМодуль.OPI_MessagePack.Модуль	99	ЗаписатьКартуВПоток(Данные, ПотокДанных);	1001	0,004719
